PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Bellingham DPW Water & Sewer Div.,L,Wrentham Road WTP #1,GW,manganese,0.4,TRUE,0.454,MA,2020-08-20
Clinton Water Dept.,L,Clinton Water Filtration Plant,SW,manganese,0.4,TRUE,6.42,MA,2020-02-04
Clinton Water Dept.,L,Clinton Water Filtration Plant,SW,manganese,0.4,TRUE,6.15,MA,2020-05-12
Clinton Water Dept.,L,Clinton Water Filtration Plant,SW,manganese,0.4,TRUE,5.12,MA,2020-08-25
Fitchburg DPW Division of Water Supply,L,Westminster TP,SW,manganese,0.4,TRUE,3.34,MA,2018-11-06
Fitchburg DPW Division of Water Supply,L,Westminster TP,SW,manganese,0.4,TRUE,13.3,MA,2019-02-05
Fitchburg DPW Division of Water Supply,L,Westminster TP,SW,manganese,0.4,TRUE,6.47,MA,2019-05-07
Fitchburg DPW Division of Water Supply,L,Westminster TP,SW,manganese,0.4,TRUE,3.93,MA,2019-08-06
Fitchburg DPW Division of Water Supply,L,Falulah TP,SW,manganese,0.4,TRUE,38.5,MA,2018-11-06
Fitchburg DPW Division of Water Supply,L,Falulah TP,SW,manganese,0.4,TRUE,39.5,MA,2019-02-05
Fitchburg DPW Division of Water Supply,L,Falulah TP,SW,manganese,0.4,TRUE,16,MA,2019-05-07
Fitchburg DPW Division of Water Supply,L,Falulah TP,SW,manganese,0.4,TRUE,26.9,MA,2019-08-06
Franklin Water Department,L,Well #3 Pumping Station,GW,manganese,0.4,TRUE,204,MA,2019-12-30
Franklin Water Department,L,Well #3 Pumping Station,GW,manganese,0.4,TRUE,11.1,MA,2020-05-14
Franklin Water Department,L,Well #4 Pumping Station,GW,manganese,0.4,TRUE,4.97,MA,2019-11-18
Franklin Water Department,L,Well #4 Pumping Station,GW,manganese,0.4,TRUE,5.78,MA,2020-05-14
Franklin Water Department,L,Well #5 Pumping Station,GW,manganese,0.4,TRUE,3.42,MA,2019-11-18
Franklin Water Department,L,Well #5 Pumping Station,GW,manganese,0.4,TRUE,5.77,MA,2020-05-14
Franklin Water Department,L,Well #7 Pumping Station,GW,manganese,0.4,TRUE,4.33,MA,2019-11-18
Franklin Water Department,L,Well #7 Pumping Station,GW,manganese,0.4,TRUE,37,MA,2020-05-14
Franklin Water Department,L,Well #8 Pumping Station,GW,manganese,0.4,TRUE,50.8,MA,2019-11-18
Franklin Water Department,L,Well #8 Pumping Station,GW,manganese,0.4,TRUE,38.5,MA,2020-05-14
Franklin Water Department,L,Well #9 Pumping Station,GW,manganese,0.4,TRUE,59.1,MA,2019-11-18
Franklin Water Department,L,Well #9 Pumping Station,GW,manganese,0.4,TRUE,54,MA,2020-05-14
Franklin Water Department,L,Well #10 Pumping Station,GW,manganese,0.4,TRUE,5.66,MA,2019-11-18
Franklin Water Department,L,Well #10 Pumping Station,GW,manganese,0.4,TRUE,3.83,MA,2020-05-14
Franklin Water Department,L,DPW Yard WTF,GW,manganese,0.4,TRUE,55,MA,2020-01-14
Franklin Water Department,L,DPW Yard WTF,GW,manganese,0.4,TRUE,12.031,MA,2020-06-11
